"Crop","State","Season","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Rice","Mizoram","Total","0.35","0.34","0.25","0.21","","0.61","0.39","0.40","0.35","","1744.00","1151.00","1610.00","1709.00",""
"Rice","Nagaland","Kharif","1.22","2.08","2.08","1.96","","1.50","3.64","3.64","3.40","","1233.00","1748.00","1751.00","1734.00",""
"Rice","Nagaland","Rabi","0.00","0.03","0.02","0.01","","0.00","0.06","0.05","0.03","","1800.00","1995.00","1999.00","1950.00",""
"Rice","Nagaland","Total","1.22","2.11","2.10","1.97","","1.51","3.70","3.69","3.43","","1234.00","1751.00","1753.00","1736.00",""
"Rice","Odisha","Kharif","36.48","37.29","37.01","34.19","34.80","81.54","70.81","72.79","81.44","89.05","2235.00","1899.00","1967.00","2382.00","2559.00"
"Rice","Odisha","Rabi","2.99","","","","","11.37","","","","","3797.00","","","",""
"Rice","Odisha","Summer","","3.36","3.71","4.15","3.77","","11.69","11.95","13.84","13.12","","3485.00","3219.00","3338.00","3485.00"
"Rice","Odisha","Total","39.48","40.64","40.72","38.34","38.56","92.91","82.50","84.74","95.27","102.18","2353.00","2030.00","2081.00","2485.00","2650.00"
"Rice","Puducherry","Kharif","0.04","0.04","0.04","0.03","","0.13","0.14","0.13","0.09","","2956.00","3311.00","3142.00","2765.00",""
"Rice","Puducherry","Rabi","0.15","0.10","0.10","0.09","","0.44","0.32","0.32","0.23","","2992.00","3137.00","3139.00","2520.00",""
"Rice","Puducherry","Summer","","0.05","0.05","0.05","","","0.19","0.16","0.15","","","3635.00","3112.00","3218.00",""
"Rice","Puducherry","Total","0.19","0.20","0.20","0.17","","0.57","0.65","0.61","0.47","","2984.00","3304.00","3133.00","2761.00",""
"Rice","Punjab","Kharif","29.69","30.98","31.79","32.43","32.68","128.85","129.91","143.56","143.61","125.33","4340.00","4193.00","4516.00","4428.00","3835.00"
"Rice","Punjab","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Punjab","Total","29.69","30.98","31.79","32.43","32.68","128.85","129.91","143.56","143.61","125.33","4340.00","4193.00","4516.00","4428.00","3835.00"
"Rice","Rajasthan","Kharif","1.96","2.34","2.68","3.54","3.47","4.79","5.77","7.46","9.18","7.99","2436.00","2464.00","2786.00","2593.00","2299.00"
"Rice","Rajasthan","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Rajasthan","Total","1.96","2.34","2.68","3.54","3.47","4.79","5.77","7.46","9.18","7.99","2436.00","2464.00","2786.00","2593.00","2299.00"
"Rice","Sikkim","Kharif","0.09","0.08","0.06","0.06","","0.16","0.10","0.08","0.08","","1861.00","1241.00","1242.00","1242.00",""
"Rice","Sikkim","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Sikkim","Total","0.09","0.08","0.06","0.06","","0.16","0.10","0.08","0.08","","1861.00","1241.00","1242.00","1242.00",""
"Rice","Tamil Nadu","Kharif","20.24","6.93","6.80","6.64","7.50","70.51","25.13","20.90","22.41","26.40","3483.00","3627.00","3074.00","3375.00","3518.00"
"Rice","Tamil Nadu","Rabi","1.93","12.68","11.79","12.21","12.76","8.56","42.56","37.79","37.96","42.17","4436.00","3357.00","3204.00","3109.00","3305.00"
"Rice","Tamil Nadu","Summer","","1.98","2.42","2.73","2.28","","7.88","9.31","10.56","8.99","","3975.00","3839.00","3874.00","3942.00"
"Rice","Tamil Nadu","Total","22.17","21.59","21.02","21.58","22.54","79.07","75.57","67.99","70.94","77.55","3566.00","3500.00","3235.00","3288.00","3440.00"
"Rice","Telangana","Kharif","23.74","25.41","25.74","24.87","28.29","78.34","88.87","93.44","90.54","95.39","3300.00","3498.00","3630.00","3640.00","3372.00"
"Rice","Telangana","Rabi","12.81","21.22","21.11","23.22","25.14","45.75","69.91","75.30","83.92","89.90","3572.00","3295.00","3567.00","3614.00","3577.00"
"Rice","Telangana","Total","36.55","46.62","46.85","48.09","53.42","124.10","158.77","168.74","174.46","185.29","3395.00","3406.00","3602.00","3627.00","3468.00"
"Rice","Tripura","Kharif","1.91","1.79","1.79","1.63","","5.85","5.77","5.77","4.95","","3069.00","3218.00","3218.00","3043.00",""
"Rice","Tripura","Rabi","0.65","0.63","0.63","0.62","","2.26","2.12","2.12","2.21","","3470.00","3391.00","3391.00","3557.00",""
"Rice","Tripura","Total","2.56","2.42","2.42","2.25","","8.11","7.89","7.89","7.15","","3171.00","3263.00","3263.00","3185.00",""
"Rice","Uttar Pradesh","Kharif","56.76","58.66","57.32","71.50","67.89","151.83","160.33","158.65","201.45","191.92","2675.00","2733.00","2768.00","2817.00","2827.00"
"Rice","Uttar Pradesh","Rabi","0.27","","","","","0.88","","","","","3268.00","","","",""
"Rice","Uttar Pradesh","Summer","","0.32","0.36","2.00","2.00","","1.10","1.25","6.14","6.14","","3439.00","3474.00","3068.00","3068.00"
"Rice","Uttar Pradesh","Total","57.03","58.98","57.68","73.50","69.89","152.72","161.43","159.90","207.59","198.05","2678.00","2737.00","2772.00","2824.00","2834.00"
"Rice","Uttarakhand","Kharif","2.33","2.27","2.21","2.09","2.06","6.24","5.57","5.63","5.56","5.44","2680.00","2453.00","2552.00","2667.00","2642.00"
"Rice","Uttarakhand","Rabi","0.24","","","","","0.92","","","","","3817.00","","","",""
"Rice","Uttarakhand","Summer","","0.22","0.23","0.07","0.06","","0.78","0.81","0.29","0.24","","3526.00","3571.00","3921.00","3921.00"
"Rice","Uttarakhand","Total","2.57","2.49","2.43","2.16","2.12","7.16","6.34","6.44","5.86","5.68","2786.00","2548.00","2647.00","2710.00","2678.00"
"Rice","West Bengal","Kharif","42.86","37.69","38.09","42.30","42.80","122.05","107.79","109.47","110.06","120.64","2848.00","2860.00","2874.00","2602.00","2818.00"
"Rice","West Bengal","Rabi","13.00","","","","","45.23","","","","","3479.00","","","",""
"Rice","West Bengal","Summer","","12.96","13.10","13.62","13.71","","47.06","47.39","50.14","50.73","","3630.00","3617.00","3680.00","3700.00"
"Rice","West Bengal","Total","55.86","50.65","51.19","55.92","56.51","167.29","154.84","156.87","160.19","171.36","2995.00","3057.00","3064.00","2865.00","3032.00"
"Rice","Others","Kharif","","","","","10.84","","","","","24.76","","","","","2284.00"
"Rice","Others","Rabi","","","","","0.94","","","","","3.29","","","","","3488.00"
"Rice","Others","Summer","","","","","0.19","","","","","0.71","","","","","3643.00"
"Rice","Others","Total","","","","","11.97","","","","","28.75","","","","","2401.00"
"Rice","All India","Kharif","410.38","404.03","407.34","434.66","446.70","1110.01","1105.12","1132.59","1227.72","1247.58","2705.00","2735.00","2780.00","2825.00","2793.00"
"Rice","All India","Rabi","52.40","43.28","40.76","44.73","48.99","184.71","150.04","146.01","161.29","181.07","3525.00","3467.00","3582.00","3606.00","3696.00"
"Rice","All India","Summer","","31.01","30.18","33.28","32.63","","102.40","99.65","112.84","111.59","","3302.00","3302.00","3391.00","3419.00"
"Rice","All India","Total","462.79","478.32","478.28","512.67","528.32","1294.71","1357.55","1378.25","1501.84","1540.24","2798.00","2838.00","2882.00","2929.00","2915.00"
